,mpww_p1,mpww_p2,mpww_p3,mpww_p4,mpww_p5,mpww_p6,mpww_p7,mpww_p8,mpww_p9,mpww_p10,mpww_p11,mpww_p12,mpww_p13,mpww_p14,mpww_p15,mpww_p16,mpww_p17,mpww_p18,mpww_p19,mpww_p20,mpww_p21,swh_p1,swh_p2,swh_p3,swh_p4,swh_p5,swh_p6,swh_p7,swh_p8,swh_p9,swh_p10,swh_p11,swh_p12,swh_p13,swh_p14,swh_p15,swh_p16,swh_p17,swh_p18,swh_p19,swh_p20,swh_p21,u_p1,u_p2,u_p3,u_p4,u_p5,u_p6,u_p7,u_p8,u_p9,u_p10,u_p11,u_p12,u_p13,u_p14,u_p15,u_p16,u_p17,u_p18,u_p19,u_p20,u_p21,v_p1,v_p2,v_p3,v_p4,v_p5,v_p6,v_p7,v_p8,v_p9,v_p10,v_p11,v_p12,v_p13,v_p14,v_p15,v_p16,v_p17,v_p18,v_p19,v_p20,v_p21,wvdir_p1,wvdir_p2,wvdir_p3,wvdir_p4,wvdir_p5,wvdir_p6,wvdir_p7,wvdir_p8,wvdir_p9,wvdir_p10,wvdir_p11,wvdir_p12,wvdir_p13,wvdir_p14,wvdir_p15,wvdir_p16,wvdir_p17,wvdir_p18,wvdir_p19,wvdir_p20,wvdir_p21,dirpw_p1,dirpw_p2,dirpw_p3,dirpw_p4,dirpw_p5,dirpw_p6,dirpw_p7,dirpw_p8,dirpw_p9,dirpw_p10,dirpw_p11,dirpw_p12,dirpw_p13,dirpw_p14,dirpw_p15,dirpw_p16,dirpw_p17,dirpw_p18,dirpw_p19,dirpw_p20,dirpw_p21,dirsw_p1,dirsw_p2,dirsw_p3,dirsw_p4,dirsw_p5,dirsw_p6,dirsw_p7,dirsw_p8,dirsw_p9,dirsw_p10,dirsw_p11,dirsw_p12,dirsw_p13,dirsw_p14,dirsw_p15,dirsw_p16,dirsw_p17,dirsw_p18,dirsw_p19,dirsw_p20,dirsw_p21,shww_p1,shww_p2,shww_p3,shww_p4,shww_p5,shww_p6,shww_p7,shww_p8,shww_p9,shww_p10,shww_p11,shww_p12,shww_p13,shww_p14,shww_p15,shww_p16,shww_p17,shww_p18,shww_p19,shww_p20,shww_p21,persw_p1,persw_p2,persw_p3,persw_p4,persw_p5,persw_p6,persw_p7,persw_p8,persw_p9,persw_p10,persw_p11,persw_p12,persw_p13,persw_p14,persw_p15,persw_p16,persw_p17,persw_p18,persw_p19,persw_p20,persw_p21,perpw_p1,perpw_p2,perpw_p3,perpw_p4,perpw_p5,perpw_p6,perpw_p7,perpw_p8,perpw_p9,perpw_p10,perpw_p11,perpw_p12,perpw_p13,perpw_p14,perpw_p15,perpw_p16,perpw_p17,perpw_p18,perpw_p19,perpw_p20,perpw_p21
2019-01-18 00:00:00,6.36,6.38,6.34,6.49,6.51,6.46,6.58,6.62,6.57,6.55,6.5600000000000005,6.66,6.15,6.25,6.62,5.73,5.87,6.4,5.62,5.67,6.1000000000000005,1.28,1.36,1.43,1.17,1.26,1.33,1.07,1.17,1.23,1.03,1.1300000000000001,1.1500000000000001,1.1300000000000001,1.16,1.11,1.33,1.27,1.11,1.85,1.49,1.19,-5.78,-5.96,-6.3100000000000005,-4.57,-4.99,-5.3500000000000005,-3.16,-3.68,-4.41,-1.6400000000000001,-2.35,-3.45,-0.78,-1.33,-2.35,-0.22,-0.8,-1.41,-0.75,-0.73,-0.55,-1.16,-1.0,-0.76,-2.2,-1.72,-1.48,-3.35,-2.95,-2.23,-4.53,-4.26,-3.15,-6.44,-5.75,-4.45,-8.22,-7.21,-5.7,-10.950000000000001,-8.48,-6.74,88.39,92.99,96.64,86.4,90.4,93.93,82.9,87.2,91.43,78.84,81.63,88.29,66.12,69.61,82.27,44.64,49.09,70.13,20.54,25.72,48.32,105.8,113.85000000000001,117.76,101.85000000000001,108.19,112.60000000000001,97.11,103.07000000000001,108.10000000000001,93.89,99.55,104.83,92.93,97.04,101.84,59.65,72.57000000000001,98.14,16.5,19.43,84.17,85.47,87.79,89.84,82.7,85.12,85.57000000000001,,,83.89,,,,35.72,33.730000000000004,43.68,21.88,21.91,33.9,12.36,9.01,15.35,1.23,1.27,1.29,1.1400000000000001,1.19,1.17,,,1.1500000000000001,,,,0.96,0.85,0.73,1.22,1.02,0.78,1.74,1.32,0.92,8.56,8.22,6.36,8.58,8.540000000000001,8.040000000000001,,,8.53,,,,4.96,4.62,4.44,5.26,4.79,4.39,5.9,5.3100000000000005,4.57,8.42,8.34,8.28,8.43,8.34,8.28,8.51,8.42,8.34,8.59,8.52,8.4,8.69,8.56,8.41,6.61,6.95,8.44,5.88,5.6000000000000005,7.71
2019-01-18 03:00:00,6.4,6.44,6.41,6.53,6.57,6.54,6.6000000000000005,6.68,6.640000000000001,6.5,6.66,6.75,5.83,6.3500000000000005,6.74,5.46,5.89,6.5,5.5600000000000005,5.64,6.13,1.27,1.35,1.41,1.1500000000000001,1.24,1.3,1.06,1.1500000000000001,1.21,1.02,1.1,1.12,1.17,1.11,1.07,1.3900000000000001,1.23,1.07,1.83,1.45,1.16,-5.62,-5.61,-5.8100000000000005,-4.59,-4.7,-4.94,-3.52,-3.84,-4.46,-2.69,-2.64,-3.71,-3.31,-1.67,-2.44,-3.73,-1.43,-1.49,-3.16,-1.49,-0.49,-0.14,0.02,0.13,-1.33,-0.96,-0.52,-2.97,-2.15,-1.31,-4.79,-3.73,-2.34,-7.6000000000000005,-5.46,-3.7600000000000002,-9.120000000000001,-7.07,-5.14,-10.89,-8.51,-6.62,88.62,92.83,96.27,86.47,90.19,93.76,82.89,87.29,91.24,78.19,82.47,88.53,61.95,70.87,83.23,44.0,49.93,70.94,24.080000000000002,25.55,46.02,104.38,111.54,116.7,100.47,106.56,112.45,96.67,102.98,108.19,94.45,100.51,105.19,93.58,98.01,101.66,47.47,73.23,97.91,18.6,17.78,85.26,86.68,88.79,90.10000000000001,,,86.08,,,,70.85000000000001,,,46.35,37.47,43.49,29.51,23.5,33.17,16.78,8.0,10.950000000000001,1.25,1.29,1.29,,,1.07,,,,0.96,,,0.99,0.8300000000000001,0.7000000000000001,1.21,0.99,0.74,1.72,1.27,0.89,8.51,6.9,6.1000000000000005,,,5.98,,,,8.620000000000001,,,5.78,4.74,4.5200000000000005,5.0,4.76,4.45,5.82,5.24,4.59,8.36,8.25,8.15,8.41,8.3,8.2,8.52,8.42,8.290000000000001,8.59,8.49,8.32,8.63,8.5,8.34,5.89,6.87,8.59,5.79,5.53,8.13
2019-01-18 06:00:00,6.44,6.48,6.45,6.5600000000000005,6.62,6.58,6.6000000000000005,6.71,6.68,6.4,6.69,6.8100000000000005,5.58,6.34,6.83,5.33,5.79,6.53,5.54,5.5,6.0200000000000005,1.26,1.34,1.3900000000000001,1.1400000000000001,1.23,1.28,1.05,1.1400000000000001,1.19,1.02,1.08,1.1,1.3,1.09,1.04,1.55,1.23,1.04,1.93,1.49,1.16,-5.8100000000000005,-5.9,-5.94,-4.69,-5.01,-5.25,-3.81,-4.41,-4.9,-3.19,-3.5500000000000003,-4.19,-4.15,-2.82,-2.99,-4.67,-2.57,-1.96,-4.22,-2.23,-0.87,-0.22,0.16,0.48,-1.46,-0.79,0.05,-3.18,-1.94,-0.81,-5.09,-3.63,-1.94,-8.67,-5.72,-3.61,-10.24,-7.76,-5.51,-11.69,-9.65,-7.51,88.8,92.85000000000001,96.13,86.54,90.02,93.73,82.63,87.16,91.17,76.63,82.55,88.62,56.6,70.60000000000001,83.96000000000001,43.11,48.93,70.96000000000001,27.68,25.05,41.92,102.91,112.27,115.06,99.72,106.91,113.55,97.13,103.65,110.53,95.56,101.28,107.69,71.52,98.22,102.22,36.86,61.85,99.2,22.650000000000002,10.4,86.92,86.97,89.24,90.34,,,85.33,,,78.96000000000001,46.9,68.31,,34.85,52.32,40.62,33.49,23.67,28.53,21.85,9.82,7.99,1.23,1.28,1.28,,,1.11,,,0.9,0.76,0.9500000000000001,,1.04,0.93,0.7000000000000001,1.42,1.0,0.73,1.84,1.33,0.91,7.91,6.62,6.2,,,6.01,,,5.8,6.140000000000001,8.55,,4.49,7.07,4.64,5.12,4.66,4.46,5.86,5.14,4.54,8.28,8.09,8.0,8.4,8.25,8.120000000000001,8.52,8.39,8.19,8.55,8.42,8.21,6.2,8.44,8.52,5.11,6.32,9.46,5.83,5.12,8.27
2019-01-18 09:00:00,6.41,6.43,6.41,6.55,6.59,6.55,6.55,6.66,6.640000000000001,6.28,6.6000000000000005,6.78,5.46,6.17,6.78,5.36,5.58,6.34,5.64,5.4,5.73,1.27,1.34,1.3800000000000001,1.1400000000000001,1.23,1.27,1.05,1.1400000000000001,1.17,1.03,1.08,1.08,1.43,1.12,1.02,1.74,1.32,1.05,2.11,1.6300000000000001,1.23,-6.22,-6.65,-6.74,-5.13,-5.7,-6.03,-4.1,-5.05,-5.6000000000000005,-3.16,-4.3100000000000005,-4.76,-3.8200000000000003,-3.4,-3.46,-3.88,-2.8000000000000003,-2.11,-3.0300000000000002,-2.1,-1.17,-0.25,0.14,0.45,-1.42,-0.68,0.0,-3.35,-2.15,-1.01,-5.42,-4.0600000000000005,-2.35,-9.77,-6.53,-4.42,-11.51,-9.11,-6.68,-12.94,-10.97,-8.59,88.83,92.76,95.99000000000001,86.4,89.79,93.61,81.94,86.61,90.98,74.73,81.3,88.19,50.980000000000004,67.34,82.9,38.980000000000004,44.0,66.13,25.07,21.6,33.6,103.51,110.63,113.97,99.9,107.23,113.15,98.15,104.2,111.55,96.57000000000001,101.35000000000001,108.92,55.39,92.21000000000001,103.18,39.18,45.27,100.55,26.27,10.61,51.17,86.19,88.66,89.9,84.92,84.78,85.91,75.49,78.62,80.45,62.33,71.09,74.16,34.47,47.09,64.51,32.27,25.91,35.9,21.45,10.74,6.42,1.19,1.26,1.25,1.1400000000000001,1.1400000000000001,1.12,0.9500000000000001,1.0,0.99,0.9,0.93,0.89,1.23,0.89,0.81,1.6300000000000001,1.1400000000000001,0.8200000000000001,2.05,1.5,1.0,7.75,6.7700000000000005,6.3100000000000005,8.48,8.040000000000001,7.69,8.51,8.48,8.08,7.38,8.17,8.05,4.83,6.03,7.98,5.48,5.1000000000000005,6.0,6.11,5.25,4.47,8.16,7.98,7.95,8.370000000000001,8.19,8.05,8.48,8.3,8.08,8.49,8.33,8.1,5.68,7.8,9.290000000000001,5.47,5.69,9.75,6.09,5.22,6.3
2019-01-18 12:00:00,6.3,6.3,6.29,6.46,6.47,6.44,6.44,6.55,6.54,6.13,6.390000000000001,6.62,5.42,5.8500000000000005,6.47,5.47,5.4,5.92,5.82,5.45,5.48,1.29,1.37,1.3900000000000001,1.1500000000000001,1.24,1.27,1.06,1.1400000000000001,1.17,1.05,1.1,1.08,1.51,1.2,1.05,1.83,1.48,1.12,2.29,1.81,1.34,-6.94,-7.33,-7.3,-5.7,-6.38,-6.43,-4.5,-5.22,-5.63,-2.95,-3.86,-4.62,-1.56,-2.69,-3.3200000000000003,-0.17,-2.17,-2.19,0.17,-1.34,-1.6,-0.5700000000000001,-0.29,0.21,-1.78,-1.05,-0.65,-3.72,-2.87,-2.02,-5.93,-5.3500000000000005,-3.9,-10.55,-8.2,-5.97,-11.92,-10.57,-7.88,-13.57,-11.69,-9.44,88.61,92.26,95.64,85.9,89.25,92.98,80.76,85.47,90.13,71.96000000000001,77.87,86.04,44.13,59.09,77.33,30.29,34.76,55.76,15.610000000000001,15.780000000000001,25.28,102.87,108.82000000000001,113.39,100.82000000000001,106.96000000000001,112.34,99.03,104.87,110.45,96.94,101.71000000000001,106.21000000000001,53.870000000000005,77.93,103.14,32.4,30.02,90.08,17.88,9.25,15.200000000000001,86.67,88.06,90.14,82.83,83.14,85.89,77.29,77.81,80.58,54.35,61.81,72.04,28.87,31.25,53.4,21.98,20.29,25.310000000000002,13.38,8.13,6.25,1.24,1.26,1.27,1.09,1.11,1.1400000000000001,1.0,1.01,1.01,0.88,0.89,0.89,1.31,0.91,0.8,1.71,1.32,0.86,2.25,1.7,1.16,7.7,6.63,6.38,8.370000000000001,7.87,7.38,8.44,8.47,8.19,6.17,7.47,8.11,5.04,4.61,6.59,5.75,4.86,4.22,6.41,5.59,4.68,8.040000000000001,7.930000000000001,7.91,8.34,8.11,7.97,8.41,8.18,7.99,8.43,8.4,8.82,5.91,6.94,9.69,5.79,5.22,8.0,6.390000000000001,5.5600000000000005,5.2
2019-01-18 15:00:00,6.21,6.24,6.22,6.37,6.4,6.3500000000000005,6.34,6.46,6.44,6.01,6.19,6.44,5.46,5.66,6.15,5.54,5.42,5.61,5.93,5.61,5.38,1.32,1.3800000000000001,1.4000000000000001,1.16,1.24,1.27,1.07,1.1400000000000001,1.17,1.08,1.1300000000000001,1.09,1.44,1.26,1.09,1.75,1.55,1.21,2.33,1.9100000000000001,1.46,-6.83,-6.87,-6.98,-5.3,-5.67,-6.19,-3.33,-4.3,-5.44,-1.1400000000000001,-3.1,-4.33,1.21,-1.86,-2.6,1.97,0.0,-1.5,1.1300000000000001,1.36,-0.58,-1.12,-0.87,-0.43,-2.49,-1.97,-1.46,-4.7,-3.99,-2.72,-6.61,-6.25,-4.5,-9.32,-8.33,-6.69,-10.4,-9.9,-8.66,-13.0,-11.09,-10.01,87.86,91.34,94.87,84.95,88.13,91.78,79.09,83.68,88.59,68.47,73.31,82.89,39.97,51.58,70.10000000000001,25.37,25.62,46.04,9.3,6.49,17.95,99.85000000000001,107.73,112.84,101.04,106.17,111.33,99.26,104.58,108.5,86.75,102.55,105.52,38.43,58.9,103.28,28.11,18.96,58.76,9.86,2.38,4.25,85.64,87.2,90.19,80.8,82.36,86.16,73.81,76.78,80.14,54.27,56.15,73.83,16.81,31.18,39.62,10.26,13.18,22.38,6.45,0.17,4.36,1.25,1.27,1.3,1.08,1.12,1.18,0.98,1.03,1.04,0.96,0.92,0.99,1.19,1.05,0.8,1.55,1.41,1.0,2.2800000000000002,1.82,1.31,7.29,6.63,6.49,8.32,7.69,7.24,8.41,8.56,8.64,7.4,7.37,9.66,5.0200000000000005,5.07,5.78,5.67,5.18,4.3,6.640000000000001,5.96,5.0,7.74,7.88,7.8500000000000005,8.26,8.0,7.88,8.31,8.040000000000001,8.39,7.15,8.8,9.55,5.22,6.07,9.48,5.92,5.14,6.13,6.62,5.93,4.97
2019-01-18 18:00:00,6.24,6.25,6.22,6.36,6.4,6.32,6.38,6.45,6.4,6.09,6.19,6.37,5.57,5.7,6.0600000000000005,5.5200000000000005,5.46,5.61,5.88,5.7,5.46,1.32,1.37,1.3900000000000001,1.16,1.23,1.26,1.06,1.1300000000000001,1.16,1.05,1.11,1.09,1.29,1.23,1.09,1.6,1.51,1.21,2.24,1.96,1.48,-5.86,-6.33,-6.72,-4.55,-5.15,-5.87,-2.0,-3.48,-4.71,0.55,-1.45,-3.13,2.06,0.58,-1.26,2.46,2.09,0.53,1.51,2.11,1.8900000000000001,-1.47,-0.9,-0.44,-2.59,-2.11,-1.46,-4.0,-3.83,-3.0500000000000003,-5.19,-5.54,-4.84,-7.38,-7.05,-6.38,-9.42,-8.65,-7.390000000000001,-12.450000000000001,-10.72,-8.57,87.07000000000001,90.54,94.01,84.11,87.01,90.76,78.96000000000001,82.59,87.15,68.78,72.19,80.69,42.38,49.800000000000004,66.62,24.240000000000002,20.17,41.61,7.42,358.98,10.950000000000001,99.15,107.10000000000001,111.60000000000001,100.5,105.44,109.56,98.73,104.02,107.23,97.21000000000001,103.98,105.24000000000001,55.69,70.09,101.93,29.12,14.76,58.08,7.76,356.89,0.2,84.60000000000001,86.66,89.74,82.44,82.93,84.3,,78.21000000000001,78.84,33.22,59.07,69.58,13.0,26.650000000000002,43.08,5.44,2.38,15.11,4.2700000000000005,353.24,358.35,1.24,1.26,1.31,1.1500000000000001,1.1500000000000001,1.1400000000000001,,1.05,1.03,1.05,0.99,0.96,1.03,1.0,0.87,1.42,1.33,0.98,2.18,1.87,1.34,7.24,6.46,6.43,8.23,7.03,7.33,,9.09,8.93,4.88,8.1,8.88,4.82,5.3,5.42,5.5200000000000005,5.22,4.5,6.61,6.12,5.23,7.66,7.8100000000000005,7.75,8.120000000000001,7.88,8.0,8.16,8.25,9.15,8.540000000000001,9.38,9.450000000000001,6.17,6.69,9.4,5.8500000000000005,5.25,6.3,6.59,6.1000000000000005,5.21
2019-01-18 21:00:00,6.3,6.3,6.25,6.43,6.43,6.34,6.5,6.5200000000000005,6.44,6.26,6.33,6.46,5.65,5.8100000000000005,6.140000000000001,5.44,5.44,5.64,5.7700000000000005,5.69,5.47,1.3,1.34,1.37,1.1500000000000001,1.21,1.24,1.03,1.1,1.1300000000000001,1.0,1.07,1.05,1.18,1.16,1.05,1.48,1.45,1.17,2.07,1.92,1.5,-5.45,-5.7,-6.17,-3.71,-4.46,-5.23,-0.9400000000000001,-2.47,-3.85,1.3900000000000001,-0.59,-1.55,1.85,1.03,0.37,2.38,1.9000000000000001,1.67,1.87,2.48,2.45,-1.02,-0.76,-0.51,-1.6300000000000001,-1.68,-1.41,-2.5500000000000003,-2.61,-2.47,-3.75,-4.16,-3.5700000000000003,-7.15,-6.09,-5.0200000000000005,-9.28,-8.51,-6.73,-11.450000000000001,-10.32,-8.82,86.7,89.95,93.23,83.86,86.41,90.13,79.83,82.75,86.51,71.63,73.81,80.81,46.050000000000004,51.24,67.07000000000001,23.5,17.400000000000002,38.02,7.57,354.57,2.64,96.82000000000001,105.19,104.89,99.63,104.67,106.61,98.34,104.74000000000001,106.9,99.66,104.15,105.22,69.85000000000001,78.35000000000001,102.24000000000001,34.480000000000004,15.83,55.71,9.39,351.13,355.79,85.17,87.09,88.49,,84.87,82.75,,,82.7,37.08,43.24,,16.15,27.02,34.64,3.98,3.4,14.26,3.84,348.86,350.91,1.25,1.27,1.27,,1.21,1.1,,,1.1,0.9400000000000001,0.85,,0.9400000000000001,0.9400000000000001,0.8300000000000001,1.31,1.31,0.99,2.0100000000000002,1.84,1.37,6.5,6.5,6.42,,6.45,6.8500000000000005,,,9.47,5.16,5.2,,4.74,4.89,4.58,5.29,5.22,4.64,6.44,6.17,5.33,7.26,7.6000000000000005,7.5600000000000005,7.95,7.91,8.39,8.24,8.870000000000001,9.41,8.96,9.47,9.34,6.73,7.21,9.31,6.0600000000000005,5.54,6.36,6.42,6.140000000000001,5.3
2019-01-19 00:00:00,6.36,6.38,6.29,6.51,6.5,6.4,6.6000000000000005,6.6000000000000005,6.5200000000000005,6.38,6.45,6.57,5.63,5.8500000000000005,6.23,5.4,5.37,5.62,5.66,5.59,5.46,1.27,1.31,1.35,1.12,1.18,1.22,1.0,1.08,1.1,0.96,1.02,1.01,1.12,1.1,1.0,1.34,1.3900000000000001,1.1500000000000001,1.78,1.81,1.53,-5.4,-5.0600000000000005,-5.64,-3.87,-3.83,-4.16,-1.48,-2.38,-2.65,0.54,-0.42,-1.3800000000000001,0.51,1.06,0.1,0.97,2.05,1.44,2.49,3.33,2.21,0.38,0.08,0.05,-0.5700000000000001,-0.34,-0.33,-1.9000000000000001,-1.76,-1.21,-4.16,-4.14,-3.08,-7.68,-6.47,-5.0600000000000005,-8.47,-8.56,-6.91,-8.84,-9.31,-8.950000000000001,86.77,89.57000000000001,92.56,83.89,86.3,89.78,80.54,83.05,86.37,72.85000000000001,75.07000000000001,81.42,47.11,51.51,67.83,26.2,14.92,33.96,10.15,352.15000000000003,355.62,96.23,100.43,102.99000000000001,99.15,103.95,106.43,98.81,105.88,108.08,99.43,103.78,106.24000000000001,83.38,84.7,101.12,32.67,11.63,51.19,13.18,349.28000000000003,350.96,85.36,87.99,86.75,,,,,,,35.02,43.77,,24.03,22.2,33.29,12.76,359.47,9.14,3.8000000000000003,346.26,345.21,1.23,1.31,1.22,,,,,,,0.89,0.8,,0.93,0.87,0.78,1.21,1.26,0.97,1.69,1.73,1.42,6.59,6.640000000000001,6.49,,,,,,,5.5200000000000005,5.34,,5.12,4.8500000000000005,4.74,5.48,5.09,4.66,6.2700000000000005,6.0600000000000005,5.4,7.24,7.36,7.34,7.82,8.290000000000001,8.59,8.4,9.43,9.22,8.96,9.38,9.08,7.73,7.71,9.17,5.88,5.41,6.3500000000000005,6.2700000000000005,6.03,5.37
2019-01-19 03:00:00,6.41,6.42,6.34,6.5600000000000005,6.55,6.45,6.65,6.66,6.59,6.29,6.53,6.65,5.44,5.84,6.2700000000000005,5.33,5.3500000000000005,5.5600000000000005,5.55,5.47,5.44,1.25,1.29,1.32,1.1,1.16,1.19,0.98,1.05,1.07,0.96,0.99,0.97,1.1400000000000001,1.06,0.96,1.26,1.33,1.12,1.48,1.6600000000000001,1.51,-5.3,-5.44,-5.2,-4.11,-4.22,-4.43,-2.08,-2.72,-3.2800000000000002,-1.19,-0.86,-1.27,-2.15,0.56,0.55,-1.58,2.04,1.94,1.85,3.73,3.35,0.81,1.05,1.24,-0.17,0.02,0.68,-2.35,-1.7,-0.98,-5.45,-3.75,-2.83,-7.84,-6.3100000000000005,-4.86,-7.88,-7.890000000000001,-6.86,-3.7800000000000002,-7.95,-8.17,86.89,89.42,92.17,84.07000000000001,86.25,89.44,80.63,83.0,86.08,70.77,75.69,81.63,45.87,50.76,67.16,32.42,14.56,28.080000000000002,15.98,351.79,349.6,93.92,99.07000000000001,100.75,98.34,103.11,106.19,99.84,106.05,107.69,99.73,103.77,104.46000000000001,63.120000000000005,83.79,99.18,37.13,8.81,46.64,16.990000000000002,350.40000000000003,342.31,85.41,87.49,86.19,,,,,,,50.43,41.29,,29.5,10.78,26.46,20.97,352.46,3.02,352.5,345.44,340.01,1.24,1.27,1.2,,,,,,,0.9,0.78,,0.99,0.81,0.78,1.1500000000000001,1.16,0.96,1.12,1.58,1.41,6.67,6.57,6.51,,,,,,,6.7,5.5,,4.72,4.67,4.75,5.4,4.96,4.63,5.05,5.87,5.45,7.23,7.3,7.26,7.9,8.370000000000001,8.35,8.790000000000001,9.28,8.94,9.33,9.21,8.88,6.28,7.59,9.1,5.79,5.32,6.33,6.03,5.8500000000000005,5.42
