,swh_p1,swh_p2,swh_p3,swh_p4,swh_p5,swh_p6,swh_p7,swh_p8,swh_p9,swh_p10,swh_p11,swh_p12,swh_p13,swh_p14,swh_p15,swh_p16,swh_p17,swh_p18,swh_p19,swh_p20,swh_p21,mpww_p1,mpww_p2,mpww_p3,mpww_p4,mpww_p5,mpww_p6,mpww_p7,mpww_p8,mpww_p9,mpww_p10,mpww_p11,mpww_p12,mpww_p13,mpww_p14,mpww_p15,mpww_p16,mpww_p17,mpww_p18,mpww_p19,mpww_p20,mpww_p21,dirpw_p1,dirpw_p2,dirpw_p3,dirpw_p4,dirpw_p5,dirpw_p6,dirpw_p7,dirpw_p8,dirpw_p9,dirpw_p10,dirpw_p11,dirpw_p12,dirpw_p13,dirpw_p14,dirpw_p15,dirpw_p16,dirpw_p17,dirpw_p18,dirpw_p19,dirpw_p20,dirpw_p21,v_p1,v_p2,v_p3,v_p4,v_p5,v_p6,v_p7,v_p8,v_p9,v_p10,v_p11,v_p12,v_p13,v_p14,v_p15,v_p16,v_p17,v_p18,v_p19,v_p20,v_p21,wvdir_p1,wvdir_p2,wvdir_p3,wvdir_p4,wvdir_p5,wvdir_p6,wvdir_p7,wvdir_p8,wvdir_p9,wvdir_p10,wvdir_p11,wvdir_p12,wvdir_p13,wvdir_p14,wvdir_p15,wvdir_p16,wvdir_p17,wvdir_p18,wvdir_p19,wvdir_p20,wvdir_p21,persw_p1,persw_p2,persw_p3,persw_p4,persw_p5,persw_p6,persw_p7,persw_p8,persw_p9,persw_p10,persw_p11,persw_p12,persw_p13,persw_p14,persw_p15,persw_p16,persw_p17,persw_p18,persw_p19,persw_p20,persw_p21,u_p1,u_p2,u_p3,u_p4,u_p5,u_p6,u_p7,u_p8,u_p9,u_p10,u_p11,u_p12,u_p13,u_p14,u_p15,u_p16,u_p17,u_p18,u_p19,u_p20,u_p21,perpw_p1,perpw_p2,perpw_p3,perpw_p4,perpw_p5,perpw_p6,perpw_p7,perpw_p8,perpw_p9,perpw_p10,perpw_p11,perpw_p12,perpw_p13,perpw_p14,perpw_p15,perpw_p16,perpw_p17,perpw_p18,perpw_p19,perpw_p20,perpw_p21,dirsw_p1,dirsw_p2,dirsw_p3,dirsw_p4,dirsw_p5,dirsw_p6,dirsw_p7,dirsw_p8,dirsw_p9,dirsw_p10,dirsw_p11,dirsw_p12,dirsw_p13,dirsw_p14,dirsw_p15,dirsw_p16,dirsw_p17,dirsw_p18,dirsw_p19,dirsw_p20,dirsw_p21,shww_p1,shww_p2,shww_p3,shww_p4,shww_p5,shww_p6,shww_p7,shww_p8,shww_p9,shww_p10,shww_p11,shww_p12,shww_p13,shww_p14,shww_p15,shww_p16,shww_p17,shww_p18,shww_p19,shww_p20,shww_p21
2018-12-16 18:00:00,2.8000000000000003,2.7600000000000002,2.38,2.39,2.37,2.09,2.11,2.09,1.9100000000000001,1.96,1.96,1.85,1.93,1.9000000000000001,1.8,1.9000000000000001,1.9000000000000001,1.85,2.21,2.09,1.99,6.9,6.66,6.3500000000000005,6.640000000000001,6.47,6.2700000000000005,6.48,6.36,6.2700000000000005,6.38,6.32,6.22,6.24,6.26,6.18,6.1000000000000005,6.19,6.08,6.13,6.11,5.99,74.85000000000001,66.95,69.5,62.88,59.800000000000004,63.92,53.83,52.38,59.81,50.68,47.69,55.94,48.97,46.13,53.32,49.52,43.78,49.550000000000004,39.74,36.6,41.1,-1.4000000000000001,-2.3000000000000003,-3.0,-3.37,-3.91,-4.38,-4.5,-4.51,-4.5,-5.45,-5.13,-5.08,-7.71,-6.34,-5.74,-8.94,-7.58,-6.99,-11.19,-9.83,-8.93,77.57000000000001,72.08,72.29,68.49,64.97,67.07000000000001,60.08,58.6,64.57000000000001,55.69,53.81,60.97,50.59,49.95,57.370000000000005,47.11,44.93,50.58,34.11,35.43,40.32,7.76,7.32,6.79,7.36,7.0,6.58,7.11,6.79,6.51,6.96,6.74,6.47,7.08,6.76,6.46,7.05,6.87,6.53,7.04,6.890000000000001,6.61,-11.41,-12.700000000000001,-11.870000000000001,-9.59,-10.51,-9.73,-7.48,-8.55,-8.18,-5.88,-6.93,-7.3,-5.04,-5.76,-6.12,-4.08,-4.75,-5.46,-2.39,-4.09,-5.4,7.75,7.32,6.79,7.36,6.99,6.58,7.11,6.8,6.5200000000000005,6.96,6.73,6.48,6.97,6.71,6.47,6.97,6.79,6.54,7.03,6.86,6.62,76.76,71.4,70.47,65.81,61.63,62.300000000000004,56.21,53.370000000000005,58.76,51.7,45.62,54.78,41.53,33.9,48.44,40.78,27.48,43.31,32.53,30.490000000000002,37.94,2.7800000000000002,2.73,2.32,2.31,2.2800000000000002,1.97,2.02,1.98,1.79,1.8800000000000001,1.82,1.73,1.78,1.6600000000000001,1.6600000000000001,1.8,1.6500000000000001,1.73,2.18,2.02,1.95
2018-12-16 21:00:00,2.7600000000000002,2.77,2.58,2.4,2.43,2.24,2.09,2.1,2.07,1.8900000000000001,1.97,1.97,1.86,1.9000000000000001,1.8900000000000001,1.87,1.9100000000000001,1.8800000000000001,2.11,2.0300000000000002,2.0100000000000002,6.96,6.8100000000000005,6.51,6.76,6.6000000000000005,6.390000000000001,6.59,6.43,6.3,6.46,6.3100000000000005,6.21,6.23,6.21,6.13,6.05,6.1000000000000005,6.0200000000000005,6.08,6.08,5.98,72.37,66.97,70.48,62.660000000000004,58.67,67.5,54.26,54.09,65.56,52.15,50.230000000000004,58.7,50.89,47.83,53.980000000000004,50.88,44.75,49.95,41.4,38.1,41.36,-1.75,-2.47,-3.2,-3.25,-4.3,-4.29,-4.23,-4.46,-4.58,-5.04,-5.5600000000000005,-5.6000000000000005,-7.5600000000000005,-6.5600000000000005,-6.3,-9.05,-7.96,-7.34,-10.14,-8.44,-8.56,76.81,71.85000000000001,73.12,68.13,63.730000000000004,68.67,60.42,59.75,66.85,56.94,55.51,61.95,51.1,50.56,56.75,46.410000000000004,44.37,50.230000000000004,33.92,35.83,40.230000000000004,7.84,7.5600000000000005,7.1000000000000005,7.58,7.23,6.87,7.26,6.93,6.73,7.0600000000000005,6.8,6.6000000000000005,7.04,6.75,6.54,6.97,6.79,6.54,6.96,6.82,6.640000000000001,-11.36,-11.64,-12.19,-9.52,-9.98,-10.06,-7.390000000000001,-8.22,-9.19,-5.64,-7.42,-8.21,-4.67,-6.36,-7.22,-3.63,-5.19,-6.25,-2.4,-4.01,-5.3100000000000005,7.84,7.5600000000000005,7.09,7.57,7.22,6.87,7.26,6.93,6.73,7.04,6.79,6.61,6.96,6.73,6.54,6.92,6.74,6.55,6.96,6.82,6.640000000000001,76.51,70.92,72.16,65.98,60.34,65.39,56.71,55.15,62.79,51.46,49.15,57.36,42.67,39.93,52.230000000000004,40.64,33.82,46.800000000000004,32.42,34.0,38.18,2.75,2.75,2.54,2.35,2.34,2.15,2.0,2.0,1.97,1.87,1.85,1.87,1.73,1.73,1.8,1.78,1.75,1.82,2.08,1.99,1.97
2018-12-17 00:00:00,2.73,2.8000000000000003,2.82,2.37,2.46,2.5,2.06,2.16,2.2800000000000002,1.85,2.02,2.08,1.81,1.96,1.96,1.85,1.97,1.96,2.11,2.02,2.04,7.07,6.890000000000001,6.75,6.87,6.73,6.59,6.7,6.5600000000000005,6.47,6.51,6.36,6.33,6.23,6.2,6.21,6.0200000000000005,6.05,6.0600000000000005,6.0200000000000005,6.04,6.0,72.04,66.6,71.72,61.32,58.230000000000004,70.14,54.5,56.14,67.69,53.0,53.7,61.38,52.82,49.4,55.550000000000004,51.800000000000004,45.39,50.18,41.800000000000004,39.63,41.160000000000004,-0.92,-2.66,-3.88,-2.42,-3.61,-4.7,-3.46,-4.03,-4.48,-4.75,-5.45,-5.18,-7.32,-7.1000000000000005,-6.07,-8.92,-8.46,-7.66,-10.34,-8.83,-8.97,76.39,71.4,73.16,67.46000000000001,63.78,70.21000000000001,60.53,60.65,68.64,57.870000000000005,57.09,62.78,52.34,50.93,56.53,46.47,43.61,49.59,34.31,36.45,40.22,8.02,7.71,7.5,7.73,7.46,7.25,7.41,7.140000000000001,7.07,7.15,6.890000000000001,6.86,6.99,6.8100000000000005,6.73,6.95,6.74,6.66,6.88,6.8,6.71,-10.41,-11.620000000000001,-12.18,-8.68,-9.57,-10.59,-6.99,-8.26,-9.42,-5.79,-7.21,-8.01,-4.65,-6.18,-6.45,-3.58,-5.4,-5.7700000000000005,-3.81,-4.5600000000000005,-4.96,8.01,7.71,7.49,7.73,7.46,7.25,7.4,7.140000000000001,7.07,7.12,6.890000000000001,6.87,6.96,6.78,6.73,6.88,6.72,6.66,6.88,6.8,6.71,75.27,70.54,71.55,65.02,60.78,67.67,56.95,56.76,65.88,52.49,53.03,59.2,44.08,42.89,52.72,37.25,38.78,46.67,32.95,34.84,38.47,2.69,2.7800000000000002,2.77,2.31,2.39,2.43,1.98,2.07,2.2,1.84,1.93,1.99,1.68,1.82,1.8800000000000001,1.7,1.8900000000000001,1.9000000000000001,2.08,1.99,2.0
2018-12-17 03:00:00,2.67,2.88,2.99,2.31,2.5300000000000002,2.77,2.04,2.27,2.43,1.85,2.1,2.11,1.83,2.0300000000000002,1.98,1.8800000000000001,2.04,2.0,2.14,2.08,2.07,7.13,7.0600000000000005,7.01,6.96,6.890000000000001,6.88,6.8100000000000005,6.71,6.7,6.57,6.46,6.51,6.18,6.25,6.34,5.98,6.11,6.16,6.03,6.07,6.09,71.82000000000001,67.17,74.3,60.7,60.160000000000004,72.36,54.46,58.26,68.24,54.43,56.300000000000004,61.71,54.74,51.39,55.730000000000004,52.51,45.84,50.65,41.72,40.02,42.65,-0.8,-3.08,-3.6,-1.84,-3.5700000000000003,-4.36,-2.92,-3.83,-4.15,-4.63,-5.36,-4.23,-7.62,-7.09,-5.26,-9.01,-8.2,-7.26,-9.86,-8.9,-8.700000000000001,76.12,71.06,74.23,67.79,65.46000000000001,71.46000000000001,60.92,62.52,68.41,58.85,58.45,63.09,52.74,51.57,57.07,46.800000000000004,43.74,49.74,35.88,36.800000000000004,40.39,8.120000000000001,7.95,7.87,7.84,7.7,7.71,7.5600000000000005,7.44,7.47,7.26,7.1000000000000005,7.15,7.05,6.9,6.94,6.91,6.82,6.8500000000000005,6.87,6.84,6.83,-10.18,-10.92,-11.84,-8.07,-9.23,-10.92,-6.67,-8.48,-9.22,-5.82,-7.74,-7.51,-5.41,-6.55,-6.62,-4.86,-5.49,-6.12,-5.04,-4.99,-4.76,8.120000000000001,7.95,7.87,7.84,7.7,7.71,7.5600000000000005,7.43,7.47,7.23,7.1000000000000005,7.15,6.98,6.9,6.93,6.87,6.82,6.8500000000000005,6.87,6.84,6.83,75.10000000000001,69.49,73.07000000000001,65.47,62.95,69.75,57.54,59.49,65.85,53.9,55.22,59.86,45.4,48.52,53.61,41.87,41.51,47.21,34.74,35.46,38.92,2.64,2.84,2.96,2.2600000000000002,2.47,2.72,1.98,2.19,2.35,1.85,2.0300000000000002,2.0300000000000002,1.71,1.96,1.9100000000000001,1.8,1.99,1.95,2.12,2.05,2.04
2018-12-17 06:00:00,2.66,2.92,3.1,2.29,2.66,2.86,2.06,2.39,2.49,1.9000000000000001,2.17,2.14,1.9000000000000001,2.05,1.97,1.95,2.04,1.98,2.22,2.12,2.06,7.21,7.24,7.21,7.04,7.1000000000000005,7.08,6.9,6.87,6.91,6.66,6.63,6.7,6.21,6.390000000000001,6.5,6.0,6.23,6.32,6.07,6.15,6.2,71.88,71.7,77.9,63.160000000000004,64.66,71.63,56.04,60.42,65.68,56.4,56.93,60.31,55.61,52.730000000000004,56.34,52.96,47.4,51.28,41.660000000000004,40.92,43.88,-1.06,-2.61,-3.73,-1.76,-3.21,-3.72,-2.7,-3.7600000000000002,-3.74,-4.38,-5.09,-4.22,-7.58,-6.0600000000000005,-4.13,-9.05,-6.99,-5.34,-10.35,-8.700000000000001,-7.82,75.75,72.69,75.87,69.02,67.9,71.59,62.730000000000004,64.34,66.76,60.35,59.06,62.31,53.25,52.83,58.07,47.37,45.480000000000004,51.35,37.1,37.83,41.43,8.27,8.22,8.19,7.930000000000001,7.99,8.01,7.74,7.73,7.78,7.41,7.41,7.45,7.05,7.1000000000000005,7.15,6.9,6.97,7.0,6.91,6.94,6.96,-9.91,-10.4,-11.74,-7.9,-9.47,-10.39,-6.96,-8.84,-8.700000000000001,-6.140000000000001,-7.46,-6.87,-5.82,-6.390000000000001,-6.25,-5.32,-5.78,-5.8,-5.23,-5.34,-4.83,8.27,8.22,8.19,7.930000000000001,7.99,8.01,7.71,7.73,7.78,7.4,7.4,7.45,7.05,7.1000000000000005,7.15,6.890000000000001,6.97,7.0,6.91,6.94,6.96,74.53,71.63,75.84,66.81,65.83,70.24,59.58,61.78,64.12,54.17,56.29,59.04,50.69,50.02,54.77,45.6,43.49,48.89,36.2,36.67,40.01,2.63,2.89,3.1,2.24,2.61,2.82,2.08,2.33,2.43,1.97,2.1,2.07,1.84,1.98,1.9100000000000001,1.92,1.99,1.93,2.2,2.09,2.0300000000000002
2018-12-17 09:00:00,2.67,2.94,3.0500000000000003,2.34,2.75,2.81,2.13,2.47,2.46,1.96,2.19,2.16,1.94,2.04,1.97,1.97,2.02,1.93,2.24,2.11,1.97,7.33,7.38,7.29,7.19,7.28,7.19,6.99,7.08,7.08,6.78,6.84,6.890000000000001,6.34,6.57,6.640000000000001,6.1000000000000005,6.3500000000000005,6.44,6.15,6.23,6.3100000000000005,74.42,77.82000000000001,82.11,66.97,68.88,72.24,59.9,61.19,63.83,57.74,55.74,58.94,56.1,53.19,56.01,53.65,48.96,51.92,42.2,42.4,44.67,-0.55,-1.72,-2.36,-1.12,-2.52,-2.99,-2.2,-2.63,-2.12,-3.96,-4.0,-2.84,-7.41,-5.79,-4.48,-9.01,-7.16,-5.75,-10.540000000000001,-8.61,-7.01,76.79,76.26,77.61,71.25,70.08,70.94,65.71000000000001,64.87,65.67,62.29,59.01,61.43,54.13,53.5,58.160000000000004,48.21,46.99,52.160000000000004,37.07,38.980000000000004,42.39,8.43,8.42,8.36,8.19,8.27,8.2,7.86,8.0,8.02,7.66,7.71,7.72,7.25,7.37,7.4,7.04,7.15,7.18,7.04,7.09,7.09,-9.450000000000001,-10.39,-10.94,-7.930000000000001,-9.370000000000001,-9.64,-7.46,-8.49,-7.8100000000000005,-6.32,-7.03,-6.7,-5.44,-5.89,-6.01,-4.51,-5.24,-5.07,-3.87,-4.5200000000000005,-4.09,8.43,8.42,8.36,8.14,8.27,8.2,7.87,8.01,7.98,7.61,7.71,7.72,7.25,7.37,7.4,7.04,7.15,7.18,7.04,7.09,7.09,75.27,75.57000000000001,77.59,69.7,68.34,69.55,62.57,64.72,60.65,58.58,56.24,58.410000000000004,51.85,50.89,55.17,46.68,45.1,49.77,36.25,37.89,40.910000000000004,2.62,2.92,3.0500000000000003,2.35,2.7,2.7800000000000002,2.1,2.36,2.35,1.99,2.13,2.1,1.8900000000000001,1.98,1.92,1.94,1.98,1.8900000000000001,2.23,2.08,1.94
2018-12-17 12:00:00,2.68,2.93,2.98,2.42,2.72,2.7,2.22,2.46,2.42,2.0,2.19,2.17,1.9100000000000001,2.02,1.99,1.9100000000000001,1.97,1.8900000000000001,2.19,2.0300000000000002,1.8800000000000001,7.43,7.43,7.32,7.3500000000000005,7.36,7.23,7.17,7.25,7.18,6.97,7.0600000000000005,7.0600000000000005,6.5600000000000005,6.76,6.8100000000000005,6.26,6.49,6.55,6.2,6.33,6.390000000000001,79.86,82.5,83.93,72.13,71.28,73.06,63.690000000000005,61.5,63.480000000000004,59.4,55.07,58.36,55.83,52.44,55.22,54.59,50.1,51.47,44.37,44.4,45.17,0.71,-0.68,-2.13,-0.48,-1.6500000000000001,-2.74,-1.73,-2.4,-2.7600000000000002,-3.73,-3.98,-3.24,-6.92,-5.8,-4.26,-8.43,-6.8500000000000005,-5.63,-10.4,-7.75,-6.72,79.99,79.61,78.81,74.26,71.55,71.04,67.86,64.55,65.29,63.36,58.51,61.160000000000004,55.2,53.31,57.47,49.370000000000005,47.410000000000004,51.78,36.78,39.59,42.68,8.59,8.58,8.42,8.370000000000001,8.4,8.27,8.11,8.2,8.13,7.91,7.96,7.97,7.54,7.73,7.62,7.12,7.4,7.36,7.13,7.24,7.19,-9.41,-10.76,-10.57,-8.2,-9.26,-8.75,-7.3500000000000005,-7.8100000000000005,-7.49,-5.43,-5.96,-6.15,-3.31,-4.68,-5.5,-2.09,-3.81,-4.5200000000000005,-2.06,-3.1,-3.3000000000000003,8.59,8.58,8.42,8.36,8.4,8.27,8.11,8.22,8.11,7.8500000000000005,7.96,7.92,7.51,7.640000000000001,7.65,7.2700000000000005,7.3500000000000005,7.36,7.19,7.24,7.19,79.0,79.18,78.41,72.91,69.92,69.06,65.93,63.92,60.09,54.2,58.49,57.51,37.6,45.06,54.44,34.75,42.74,49.46,32.92,38.49,41.11,2.65,2.92,2.97,2.39,2.68,2.65,2.17,2.37,2.31,1.92,2.08,2.08,1.57,1.86,1.93,1.62,1.8800000000000001,1.85,2.11,2.0,1.85
2018-12-17 15:00:00,2.69,2.86,2.92,2.43,2.6,2.6,2.23,2.38,2.37,2.0,2.17,2.16,1.85,2.0100000000000002,1.99,1.82,1.92,1.86,2.1,1.93,1.8,7.54,7.48,7.37,7.47,7.42,7.29,7.36,7.37,7.26,7.21,7.25,7.19,6.8500000000000005,6.98,6.99,6.47,6.65,6.74,6.24,6.43,6.53,84.42,84.72,84.37,75.35000000000001,73.42,76.06,65.92,62.71,66.45,60.85,55.44,59.03,55.4,51.620000000000005,54.58,55.38,49.79,50.81,47.19,45.24,45.56,1.4000000000000001,-0.41000000000000003,-2.24,0.29,-0.75,-2.33,-1.16,-1.19,-1.8,-2.86,-2.79,-2.37,-5.47,-4.67,-4.2700000000000005,-7.41,-6.390000000000001,-5.3100000000000005,-10.02,-7.49,-5.84,82.78,81.15,78.95,76.38,72.63,72.13,68.65,64.7,66.24,63.67,58.52,61.550000000000004,56.660000000000004,53.29,56.75,50.79,47.300000000000004,51.11,36.67,39.46,43.17,8.73,8.67,8.52,8.49,8.49,8.32,8.42,8.43,8.05,,,,7.88,8.05,,7.66,7.58,,7.4,7.34,7.26,-8.71,-9.46,-10.24,-7.18,-7.5600000000000005,-8.0,-6.08,-6.5600000000000005,-6.75,-4.3,-5.62,-5.79,-2.13,-4.29,-4.51,-1.01,-2.99,-3.35,-1.52,-2.12,-2.63,8.76,8.67,8.52,8.5,8.45,8.33,8.33,8.32,8.22,8.11,8.14,8.08,7.76,7.890000000000001,7.890000000000001,7.48,7.5600000000000005,7.6000000000000005,7.3100000000000005,7.34,7.33,87.09,80.62,78.53,94.43,89.03,67.68,107.17,107.72,49.53,,,,25.94,30.080000000000002,,25.7,32.65,,27.53,35.27,38.730000000000004,2.54,2.85,2.91,1.92,2.1,2.5,1.31,1.31,2.02,,,,1.47,1.56,,1.56,1.67,,1.92,1.85,1.77
2018-12-17 18:00:00,2.64,2.7600000000000002,2.84,2.36,2.48,2.54,2.18,2.29,2.33,1.98,2.13,2.13,1.81,1.99,1.97,1.74,1.8900000000000001,1.85,1.98,1.86,1.77,7.59,7.54,7.390000000000001,7.53,7.48,7.38,7.47,7.43,7.32,7.390000000000001,7.36,7.28,7.11,7.18,7.16,6.69,6.86,6.94,6.3,6.5600000000000005,6.71,85.85000000000001,85.28,85.35000000000001,77.09,75.69,78.68,67.41,65.73,70.57000000000001,62.04,57.18,61.61,55.21,51.74,54.71,55.03,48.86,50.76,48.95,45.56,46.58,2.7800000000000002,1.25,-0.73,1.49,0.7000000000000001,-0.96,0.0,-0.1,-1.1500000000000001,-1.42,-1.99,-1.93,-4.64,-4.14,-3.24,-6.66,-5.8100000000000005,-4.7,-9.07,-6.67,-5.44,84.35000000000001,81.83,79.99,77.66,74.02,73.71000000000001,69.39,66.4,68.2,64.28,59.69,62.45,57.79,53.77,56.730000000000004,52.35,47.28,50.79,37.64,39.38,44.06,8.89,8.76,8.61,8.68,8.51,8.51,,8.47,8.45,,,,8.09,8.46,,8.07,8.13,,7.640000000000001,7.53,,-8.290000000000001,-8.76,-10.040000000000001,-7.08,-7.29,-7.78,-6.2,-6.8100000000000005,-7.08,-4.88,-5.89,-6.16,-2.68,-3.95,-4.61,-1.02,-2.47,-3.31,-1.19,-1.69,-2.73,8.85,8.75,8.6,8.59,8.5,8.44,8.43,8.370000000000001,8.32,8.290000000000001,8.26,8.21,7.98,8.07,8.06,7.7,7.8100000000000005,7.8500000000000005,7.42,7.48,7.55,88.96000000000001,85.82000000000001,80.27,90.7,99.75,80.89,,108.39,80.67,,,,24.5,21.18,,26.37,15.76,,24.990000000000002,24.57,,2.49,2.61,2.83,2.08,1.57,2.34,,1.26,1.98,,,,1.37,1.35,,1.47,1.32,,1.74,1.6500000000000001,
2018-12-17 21:00:00,2.57,2.68,2.8000000000000003,2.2800000000000002,2.41,2.5100000000000002,2.1,2.22,2.31,1.93,2.09,2.1,1.77,1.96,1.94,1.68,1.86,1.83,1.87,1.81,1.75,7.55,7.51,7.42,7.53,7.53,7.44,7.51,7.45,7.3500000000000005,7.48,7.4,7.33,7.3100000000000005,7.3100000000000005,7.2700000000000005,6.92,7.0600000000000005,7.12,6.41,6.73,6.9,86.81,86.44,86.73,78.96000000000001,77.77,80.10000000000001,69.56,69.68,73.33,63.79,60.52,64.57000000000001,55.44,53.2,56.85,54.120000000000005,48.52,51.120000000000005,49.28,45.37,47.6,3.74,2.08,-0.1,2.72,0.93,-1.0,0.8,-0.16,-1.21,-1.12,-1.94,-1.58,-4.07,-3.52,-2.5100000000000002,-6.1000000000000005,-5.0,-3.58,-8.49,-6.0,-4.64,85.83,83.28,81.75,79.10000000000001,75.7,75.22,70.83,68.97,69.76,65.54,61.7,63.49,58.61,54.84,57.42,53.32,47.94,51.31,38.78,40.13,45.19,8.92,8.81,8.72,8.8,8.49,8.61,,8.34,8.45,,8.34,,,,,8.09,8.51,,7.640000000000001,8.06,,-8.4,-9.290000000000001,-10.11,-6.97,-7.51,-7.95,-5.98,-6.8,-7.33,-4.61,-5.98,-6.21,-1.98,-4.15,-4.96,-0.43,-2.61,-3.79,-0.96,-2.16,-2.94,8.91,8.81,8.71,8.65,8.59,8.56,8.48,8.42,8.43,8.38,8.33,8.31,8.17,8.21,8.19,7.930000000000001,8.02,8.02,7.6000000000000005,7.72,7.79,90.96000000000001,84.10000000000001,82.34,82.41,93.45,82.29,,65.97,70.89,,65.97,,,,,28.23,16.92,,33.64,17.88,,2.41,2.66,2.7800000000000002,2.41,1.79,2.35,,2.18,2.35,,2.18,,,,,1.43,1.31,,1.78,1.47,
